doc_name,thread_name,thread_url,dominant_topic,topic_gamma,displacement,fuel_type,year,mileage_km,mileage_bucket,engine_group,technical_bucket,chronic_score,n_messages,gamma_vector
doc_01435,Media okuma sorunu,https://www.golftutkusu.com/topic/9337-media-okuma-sorunu,1,0.9119736815860009,1.4,petrol,2015,NA,unknown,1.4_TSI,high,2,5,"[0.911974, 0.001295, 0.005694, 0.005302, 0.027618, 0.004052, 0.001909, 0.003427, 0.005268, 0.002012, 0.004382, 0.003291, 0.002288, 0.005833, 0.001822, 0.001153, 0.002649, 0.002243, 0.007606, 0.000182]"
doc_01436,Mekatronikle Ilgili Nasil Bir Yol Izlemeliyim?,https://www.golftutkusu.com/topic/25434-mekatronikle-ilgili-nasil-bir-yol-izlemeliyim,19,0.8157515361609716,1.6,diesel,2000,60000,60-90k,1.6_TDI,high,2,38,"[0.011530, 0.000373, 0.009531, 0.006247, 0.034549, 0.023123, 0.007927, 0.006249, 0.027600, 0.002665, 0.009202, 0.007755, 0.002725, 0.009465, 0.003511, 0.003214, 0.000658, 0.017735, 0.815752, 0.000189]"
doc_01437,Mercek Far Motor Arizasi,https://www.golftutkusu.com/topic/13895-mercek-far-motor-arizasi,12,0.9409308525881288,NA,unknown,2013,NA,unknown,unknown,low,0,7,"[0.002120, 0.000993, 0.001768, 0.003778, 0.009169, 0.002826, 0.002819, 0.001829, 0.002890, 0.001648, 0.004044, 0.940931, 0.002300, 0.005900, 0.002069, 0.003908, 0.002123, 0.006303, 0.002334, 0.000248]"
doc_01438,Merceklerde aydinlatma olayi herkezin gormesi lazim bu konuyu,https://www.golftutkusu.com/topic/13760-merceklerde-aydinlatma-olayi-herkezin-gormesi-lazim-bu-konuyu,14,0.9684499092748893,NA,unknown,NA,NA,unknown,unknown,low,0,1,"[0.001316, 0.000442, 0.001903, 0.001297, 0.009484, 0.001545, 0.001666, 0.000803, 0.001498, 0.000726, 0.002747, 0.001212, 0.001159, 0.968450, 0.000992, 0.001680, 0.000610, 0.001502, 0.000875, 0.000093]"
doc_01439,Merhaba,https://www.golftutkusu.com/topic/26720-merhaba,5,0.9444889813187669,NA,unknown,NA,NA,unknown,unknown,low,0,2,"[0.004642, 0.001028, 0.006588, 0.004370, 0.944489, 0.004999, 0.002080, 0.003906, 0.005503, 0.001228, 0.002431, 0.003216, 0.001612, 0.005927, 0.000451, 0.001504, 0.002321, 0.001044, 0.002565, 0.000095]"
doc_01440,Merhabalar golf 7 sogutma sivisini kontrol edin uyarisi,https://www.golftutkusu.com/topic/13598-merhabalar-golf-7-sogutma-sivisini-kontrol-edin-uyarisi,8,0.9838877308088535,NA,unknown,2015,NA,unknown,unknown,medium,1,6,"[0.001027, 0.000366, 0.000508, 0.001017, 0.003204, 0.000618, 0.000936, 0.983888, 0.000451, 0.000315, 0.001065, 0.000452, 0.000721, 0.000920, 0.000297, 0.001883, 0.000985, 0.000846, 0.000474, 0.000026]"
doc_01441,Merkezi Kilit Sorunu,https://www.golftutkusu.com/topic/18686-merkezi-kilit-sorunu,1,0.9070952064607929,NA,unknown,NA,NA,unknown,unknown,medium,1,10,"[0.907095, 0.002195, 0.003384, 0.003874, 0.033274, 0.003537, 0.005643, 0.003307, 0.005097, 0.002484, 0.003509, 0.003116, 0.002557, 0.005693, 0.001446, 0.000427, 0.003799, 0.002480, 0.007012, 0.000071]"
doc_01442,Mib2 Ambians aydinlatma menusu acilmiyor,https://www.golftutkusu.com/topic/21255-mib2-ambians-aydinlatma-menusu-acilmiyor,8,0.6343944553511032,NA,unknown,2012,NA,unknown,unknown,low,0,1,"[0.324382, 0.000438, 0.001059, 0.000873, 0.026561, 0.001086, 0.000547, 0.634394, 0.000458, 0.000411, 0.001491, 0.000754, 0.000810, 0.000839, 0.001023, 0.001598, 0.001211, 0.000845, 0.000847, 0.000372]"
doc_01443,Mib2 Video Oynatma Sorunu,https://www.golftutkusu.com/topic/10969-mib2-video-oynatma-sorunu,7,0.8969027822179187,NA,unknown,NA,NA,unknown,unknown,medium,1,7,"[0.003012, 0.000887, 0.001519, 0.001499, 0.021012, 0.003172, 0.896903, 0.002890, 0.004070, 0.001106, 0.003085, 0.001571, 0.001722, 0.046746, 0.002077, 0.002377, 0.001533, 0.003627, 0.001051, 0.000140]"
doc_01444,Midline Araca Kapi Ambiyansi Yapilir mi?,https://www.golftutkusu.com/topic/15415-midline-araca-kapi-ambiyansi-yapilir-mi,4,0.9876354871092798,NA,unknown,2014,NA,unknown,unknown,low,0,2,"[0.000335, 0.000275, 0.000512, 0.987635, 0.001206, 0.000895, 0.000780, 0.000499, 0.000585, 0.000367, 0.000962, 0.000657, 0.000515, 0.000561, 0.000465, 0.000804, 0.000435, 0.001474, 0.000803, 0.000236]"
