doc_name,dominant_topic,topic_gamma
doc_00802,1,0.39878014
doc_00803,5,0.1491324
doc_00804,1,0.6194606
doc_00805,1,0.5194282
doc_00806,1,0.503266
doc_00807,1,0.46359244
doc_00808,1,0.46936306
doc_00809,14,0.36246923
doc_00810,2,0.11232509
doc_00811,2,0.24678172
doc_00812,4,0.10139711
doc_00813,5,0.117235005
doc_00814,1,0.2680682
doc_00815,3,0.122813135
doc_00816,10,0.1328972
doc_00817,4,0.3307852
doc_00818,9,0.37734595
doc_00819,3,0.17817162
doc_00820,1,0.5209963
doc_00821,9,0.424165
doc_00822,1,0.28521672
doc_00823,1,0.2057596
doc_00824,2,0.4476091
doc_00825,1,0.3996979
doc_00826,2,0.322285
doc_00827,1,0.103600144
doc_00828,4,0.22866559
doc_00829,1,0.49245337
doc_00830,2,0.31143156
doc_00831,1,0.3119842
doc_00832,12,0.6446346
doc_00833,1,0.18187693
doc_00834,12,0.17368737
doc_00835,8,0.12810767
doc_00836,6,0.171277
doc_00837,5,0.14921091
doc_00838,6,0.28597686
doc_00839,4,0.11386597
doc_00840,8,0.16129439
doc_00841,1,0.08829851
doc_00842,5,0.43307176
doc_00843,5,0.15635936
doc_00844,1,0.38288844
doc_00845,3,0.49355936
doc_00846,2,0.34583858
doc_00847,5,0.12761055
doc_00848,3,0.37587145
doc_00849,8,0.31487247
doc_00850,5,0.14876397
doc_00851,5,0.21076275
doc_00852,1,0.43101364
doc_00853,1,0.28966883
doc_00854,1,0.5075144
doc_00855,1,0.3054215
doc_00856,10,0.22680393
doc_00857,1,0.32884425
doc_00858,5,0.14811207
doc_00859,5,0.12771691
doc_00860,1,0.21136379
doc_00861,15,0.14111707
doc_00862,5,0.22993283
doc_00863,5,0.23640345
doc_00864,12,0.23553568
doc_00865,1,0.5467971
doc_00866,4,0.14357859
doc_00867,9,0.40085036
doc_00868,1,0.44504657
doc_00869,13,0.21886459
doc_00870,2,0.5529483
doc_00871,5,0.27246636
doc_00872,9,0.41843995
doc_00873,13,0.21902558
doc_00874,1,0.1668393
doc_00875,1,0.16141139
doc_00876,5,0.14237593
doc_00877,1,0.45280993
doc_00878,1,0.5059316
doc_00879,9,0.34424177
doc_00880,2,0.3549516
doc_00881,6,0.09035532
doc_00882,2,0.3111159
doc_00883,1,0.4114019
doc_00884,6,0.26557449
doc_00885,5,0.10444806
doc_00886,4,0.33757767
doc_00887,5,0.09028487
doc_00888,1,0.552944
doc_00889,6,0.1268164
doc_00890,9,0.28335688
doc_00891,1,0.13088645
doc_00892,13,0.11799937
doc_00893,5,0.46518642
doc_00894,2,0.4171495
doc_00895,2,0.15098973
doc_00896,1,0.4300945
doc_00897,1,0.5089438
doc_00898,1,0.51251864
doc_00899,2,0.23131457
doc_00900,6,0.12645338
doc_00901,10,0.11206013
doc_00902,5,0.09286396
doc_00903,1,0.11201543
doc_00904,1,0.179304
doc_00905,12,0.58656204
doc_00906,12,0.108549185
doc_00907,7,0.15849993
doc_00908,4,0.24487418
doc_00909,5,0.2312761
doc_00910,2,0.18817568
doc_00911,5,0.19202118
doc_00912,5,0.19653839
doc_00913,12,0.19990918
doc_00914,12,0.15978253
doc_00915,3,0.10961265
doc_00916,3,0.53107786
doc_00917,2,0.13268876
doc_00918,1,0.22578186
doc_00919,3,0.11752791
doc_00920,2,0.49495545
doc_00921,1,0.3988153
doc_00922,7,0.15227827
doc_00923,2,0.31574923
doc_00924,2,0.24197108
doc_00925,1,0.2663966
doc_00926,2,0.34921712
doc_00927,2,0.10641745
doc_00928,1,0.09153024
doc_00929,4,0.13750255
doc_00930,5,0.17675497
doc_00931,12,0.16617867
doc_00932,3,0.12678267
doc_00933,2,0.15833132
doc_00934,1,0.36885324
doc_00935,11,0.22425687
doc_00936,2,0.17479964
doc_00937,2,0.59949154
doc_00938,14,0.2356125
doc_00939,2,0.55303377
doc_00940,2,0.4754404
doc_00941,2,0.08827234
doc_00942,10,0.12965868
doc_00943,4,0.17514214
doc_00944,9,0.17237584
doc_00945,1,0.33297428
doc_00946,2,0.62121576
doc_00947,14,0.26528445
doc_00948,3,0.12075055
doc_00949,3,0.15530607
doc_00950,9,0.20407583
doc_00951,5,0.12520073
doc_00952,1,0.47106296
doc_00953,1,0.44048664
doc_00954,1,0.3028116
doc_00955,1,0.3284521
doc_00956,5,0.5113235
doc_00957,3,0.24181977
doc_00958,1,0.46115786
doc_00959,5,0.32863247
doc_00960,1,0.29917485
doc_00961,3,0.29660708
doc_00962,5,0.22185121
doc_00963,10,0.20378423
doc_00964,1,0.44307604
doc_00965,2,0.3254175
doc_00966,5,0.44066638
doc_00967,8,0.41514355
doc_00968,1,0.3953132
doc_00969,1,0.19117765
doc_00970,5,0.32529432
doc_00971,1,0.40204763
doc_00972,1,0.2469769
doc_00973,4,0.098864645
doc_00974,2,0.11062017
doc_00975,2,0.4572606
doc_00976,3,0.15294991
doc_00977,5,0.16028297
doc_00978,9,0.274005
doc_00979,1,0.17471994
doc_00980,1,0.22872105
doc_00981,5,0.25701144
doc_00982,13,0.08044943
doc_00983,1,0.5156514
doc_00984,1,0.5196065
doc_00985,5,0.13435894
doc_00986,5,0.15580218
doc_00987,13,0.2991107
doc_00988,5,0.106048785
doc_00989,6,0.11890547
doc_00990,9,0.10592195
doc_00991,6,0.10769491
doc_00992,10,0.12475595
doc_00993,2,0.31119984
doc_00994,1,0.5192293
doc_00995,4,0.2996807
doc_00996,12,0.18136798
