engine_spec,reg_year,total_tests,pass_count,avg_failures,avg_mileage,fail_rate_pct
1.9_TDI,1986,2,1,4.5,41386.5,50.0
1.9_TDI,1987,1,1,2.0,129875.0,0.0
1.9_TDI,1988,5,3,8.6,122824.4,40.0
1.9_TDI,1989,10,7,2.7,111918.3,30.0
1.9_TDI,1990,10,7,3.0,169869.0,30.0
1.9_TDI,1991,4,4,1.25,116360.25,0.0
1.9_TDI,1992,56,35,3.6785714285714284,136329.7142857143,37.5
1.9_TDI,1993,168,109,3.9583333333333335,134381.10303030303,35.1
1.9_TDI,1994,653,416,4.249617151607963,138619.9196290572,36.3
1.9_TDI,1995,1384,875,4.204479768786127,139394.20861678006,36.8
1.9_TDI,1996,2810,1766,4.249110320284697,147153.37246376812,37.2
1.9_TDI,1997,2405,1518,4.124324324324324,145929.88217905405,36.9
1.9_TDI,1998,1754,1139,3.952679589509692,150511.3652173913,35.1
1.9_TDI,1999,2492,1661,3.6219903691813804,145965.74949248883,33.3
1.9_TDI,2000,7934,5483,3.052810688177464,145371.9010695187,30.9
1.9_TDI,2001,27939,19585,2.8910483553455744,139668.6018541991,29.9
1.9_TDI,2002,48069,34411,2.6149077367950238,132564.3160085783,28.4
1.9_TDI,2003,37912,28328,2.2990346064570586,125139.61929609712,25.3
1.9_TDI,2004,20229,14897,2.1645162884967126,113484.28932387895,26.4
1.9_TDI,2005,17988,13596,1.7738492328218813,103733.70221847795,24.4
1.9_TDI,2006,16208,12854,1.4765547877591314,90385.34773137487,20.7
1.9_TDI,2007,26433,21873,1.1553361328642227,80633.83173682402,17.3
1.9_TDI,2008,33023,28024,1.0143839142415891,70644.7446100287,15.1
1.9_TDI,2009,5853,5039,0.9174782162993337,62008.489936349564,13.9
1.9_TDI,2010,1365,1214,0.7655677655677655,51073.386145910095,11.1
1.9_TDI,2011,1617,1447,0.6258503401360545,41615.996900185986,10.5
1.9_TDI,2012,59,53,0.6101694915254238,43878.42372881356,10.2
1.9_TSI,1992,1,1,0.0,50837.0,0.0
1.9_TSI,1993,1,0,16.0,160892.0,100.0
1.9_TSI,1994,9,7,3.6666666666666665,125876.33333333333,22.2
1.9_TSI,1995,19,13,3.526315789473684,135465.47368421053,31.6
1.9_TSI,1996,30,18,3.1666666666666665,150096.7931034483,40.0
1.9_TSI,1997,26,20,2.730769230769231,144945.72,23.1
1.9_TSI,1998,20,13,3.75,155667.8,35.0
1.9_TSI,1999,18,13,2.2222222222222223,147912.55555555556,27.8
1.9_TSI,2000,103,75,2.679611650485437,140499.94174757283,27.2
1.9_TSI,2001,228,160,2.9342105263157894,141950.88839285713,29.8
1.9_TSI,2002,571,414,2.497373029772329,133900.46276595743,27.5
1.9_TSI,2003,375,276,2.0453333333333332,122064.14864864865,26.4
1.9_TSI,2004,286,217,1.8391608391608392,114598.46785714285,24.1
1.9_TSI,2005,253,189,1.743083003952569,100414.95564516129,25.3
1.9_TSI,2006,207,165,1.6231884057971016,94736.0145631068,20.3
1.9_TSI,2007,208,176,1.0769230769230769,80411.49029126213,15.4
1.9_TSI,2008,265,227,0.7132075471698113,69998.78787878787,14.3
1.9_TSI,2009,43,40,0.6976744186046512,58609.3023255814,7.0
1.9_TSI,2010,20,20,0.7,52475.9,0.0
1.9_TSI,2011,44,37,0.7954545454545454,41016.65909090909,15.9
1.9_TSI,2012,2,1,0.5,16258.0,50.0
2.0_TDI,1994,1,0,11.0,154518.0,100.0
2.0_TDI,1996,7,5,2.142857142857143,121574.28571428571,28.6
2.0_TDI,1997,3,2,5.333333333333333,123643.0,33.3
2.0_TDI,1998,10,7,4.1,122054.1,30.0
2.0_TDI,1999,12,7,4.833333333333333,137932.66666666666,41.7
2.0_TDI,2000,26,19,2.8846153846153846,119669.11538461539,26.9
2.0_TDI,2001,49,37,2.693877551020408,126523.5,24.5
2.0_TDI,2002,157,109,2.5477707006369426,133845.22077922078,30.6
2.0_TDI,2003,78,58,2.141025641025641,130778.31168831169,25.6
2.0_TDI,2004,5598,4125,2.127009646302251,104155.74201119336,26.3
2.0_TDI,2005,7687,5716,1.8795368804475088,97780.41053599579,25.6
2.0_TDI,2006,11387,8766,1.678405198911039,90930.14636960767,23.0
2.0_TDI,2007,19136,15681,1.280988712374582,82791.97363425438,18.1
2.0_TDI,2008,16859,14157,1.1505427368171304,74369.92428136019,16.0
2.0_TDI,2009,21682,18980,0.9110321926021585,59961.51214979324,12.5
2.0_TDI,2010,15973,14281,0.8252050334940212,51564.32156145551,10.6
2.0_TDI,2011,14153,12828,0.6880520031088815,42333.300652204736,9.4
2.0_TDI,2012,628,575,0.5748407643312102,41601.94728434505,8.4
2.0_TDI,2013,2,2,0.0,7832.5,0.0
2.0_TDI,2014,2,2,0.0,21203.5,0.0
2.0_TSI,1971,10,6,4.6,155174.22222222222,40.0
2.0_TSI,1981,4,3,0.5,100039.25,25.0
2.0_TSI,1983,12,8,3.1666666666666665,128994.5,33.3
2.0_TSI,1984,1,1,3.0,171904.0,0.0
2.0_TSI,1986,1,1,0.0,131845.0,0.0
2.0_TSI,1987,4,3,1.25,144949.75,25.0
2.0_TSI,1988,6,5,3.0,165030.16666666666,16.7
2.0_TSI,1989,3,1,3.0,150506.33333333334,66.7
2.0_TSI,1990,9,9,1.6666666666666667,167327.44444444444,0.0
2.0_TSI,1991,14,10,2.642857142857143,136768.42857142858,28.6
2.0_TSI,1992,143,98,3.5734265734265733,116813.07692307692,31.5
2.0_TSI,1993,139,91,3.3956834532374103,119261.35507246378,34.5
2.0_TSI,1994,711,465,3.6526019690576654,115407.12857142858,34.6
2.0_TSI,1995,1631,1046,3.8779889638258735,121963.70051413882,35.9
2.0_TSI,1996,3262,2115,3.9055793991416308,125434.46271929824,35.2
2.0_TSI,1997,3913,2535,3.884743163812931,120517.2620292887,35.2
2.0_TSI,1998,1729,1152,3.6026604973973395,112049.45987111892,33.4
2.0_TSI,1999,1104,753,3.300724637681159,102844.65165441176,31.8
2.0_TSI,2000,3767,2560,2.9450491106981684,112796.60231556273,32.0
2.0_TSI,2001,10399,7294,2.6879507644965863,107186.19039284326,29.9
2.0_TSI,2002,7298,5246,2.413812003288572,101592.37147205313,28.1
2.0_TSI,2003,3036,2303,1.9538866930171277,98136.90863621207,24.1
2.0_TSI,2004,1864,1404,1.7837982832618027,84181.9623156745,24.7
2.0_TSI,2005,3004,2338,1.516977363515313,78670.00269450994,22.2
2.0_TSI,2006,2920,2351,1.4404109589041096,72809.36664369401,19.5
2.0_TSI,2007,4168,3494,1.0688579654510557,64703.8084643289,16.2
2.0_TSI,2008,3502,3036,0.924328954882924,56538.82719953996,13.3
2.0_TSI,2009,1464,1317,0.7950819672131147,45488.42630853994,10.0
2.0_TSI,2010,1959,1766,0.6115364982133742,37215.27740607308,9.9
2.0_TSI,2011,1764,1623,0.5357142857142857,29156.96422487223,8.0
2.0_TSI,2012,85,76,0.3058823529411765,23070.235294117647,10.6
2.0_TSI,2013,2,2,0.0,5977.0,0.0
2.0_TSI,2014,3,3,0.0,27.666666666666668,0.0
3.2_VR6,1990,1,1,0.0,146930.0,0.0
3.2_VR6,1991,1,1,1.0,130422.0,0.0
3.2_VR6,1999,1,1,0.0,49931.0,0.0
3.2_VR6,2002,9,7,1.1111111111111112,77526.77777777778,22.2
3.2_VR6,2003,489,371,1.9918200408997955,84394.34362139918,24.1
3.2_VR6,2004,88,64,1.9886363636363635,76264.29545454546,27.3
3.2_VR6,2005,55,38,1.8545454545454545,82284.66666666667,30.9
3.2_VR6,2006,575,446,1.4660869565217391,68656.28924162258,22.4
3.2_VR6,2007,341,280,1.1436950146627567,60730.66076696165,17.9
3.2_VR6,2008,341,290,0.844574780058651,52069.681415929204,15.0
3.2_VR6,2009,125,108,0.672,48087.35772357724,13.6
3.2_VR6,2010,1,1,0.0,27338.0,0.0
3.2_VR6,2011,1,1,2.0,48502.0,0.0
unknown,1984,1,1,0.0,78123.0,0.0
unknown,1991,2,2,0.0,136420.5,0.0
unknown,1992,1,1,0.0,169039.0,0.0
unknown,1995,5,3,3.8,80987.2,40.0
