Financial year,Period,Defect category,Overall % of tests,Overall % of defects,Dangerous defects % of tests,Dangerous defects % of defects,Major defects % of tests,Major defects % of defects
2022 to 2023,Total,Road Wheels,0.35%,0.69%,0.07%,0.72%,0.28%,0.68%
2022 to 2023,Total,Seat belt installation check,0.01%,0.01%,,,0.01%,0.01%
2022 to 2023,Total,Seat belts and supplementary restraint systems,1.06%,1.78%,0.04%,0.35%,1.03%,2.05%
2022 to 2023,Total,Speedometer and speed limiter,0.01%,0.01%,,,0.01%,0.01%
2022 to 2023,Total,Steering,1.74%,3.00%,0.09%,0.94%,1.67%,3.39%
2022 to 2023,Total,Suspension,8.67%,18.98%,0.49%,5.26%,8.38%,21.55%
2022 to 2023,Total,Tyres,6.23%,12.44%,4.75%,60.10%,1.74%,3.48%
2022 to 2023,Total,Visibility,4.89%,8.57%,0.01%,0.13%,4.88%,10.16%
2022 to 2023,Total,Overall Initial Failure Rate,28.38%,,7.71%,,20.67%,
2022 to 2023,Total,Average defects per Initial Test Failure,,2.44,,0.39,,2.06
2022 to 2023,Quarter 4: January to March,"Body, chassis, structure",3.44%,6.38%,0.19%,1.93%,3.31%,7.24%
2022 to 2023,Quarter 4: January to March,Brakes,6.80%,16.41%,2.62%,29.02%,5.07%,14.00%
2022 to 2023,Quarter 4: January to March,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022 to 2023,Quarter 4: January to March,Identification of the vehicle,0.38%,0.69%,,,0.38%,0.82%
2022 to 2023,Quarter 4: January to March,"Lamps, reflectors and electrical equipment",11.38%,25.64%,0.15%,1.38%,11.30%,30.29%
2022 to 2023,Quarter 4: January to March,Motorcycle brakes,0.00%,0.00%,0.00%,0.00%,,
2022 to 2023,Quarter 4: January to March,"Noise, emissions and leaks",3.08%,5.62%,0.03%,0.31%,3.06%,6.64%
2022 to 2023,Quarter 4: January to March,Road Wheels,0.36%,0.71%,0.07%,0.71%,0.30%,0.71%
2022 to 2023,Quarter 4: January to March,Seat belt installation check,0.01%,0.01%,,,0.01%,0.01%
2022 to 2023,Quarter 4: January to March,Seat belts and supplementary restraint systems,1.09%,1.82%,0.04%,0.35%,1.06%,2.10%
2022 to 2023,Quarter 4: January to March,Speedometer and speed limiter,0.01%,0.01%,,,0.01%,0.01%
2022 to 2023,Quarter 4: January to March,Steering,1.72%,2.96%,0.10%,0.93%,1.64%,3.35%
2022 to 2023,Quarter 4: January to March,Suspension,8.58%,18.70%,0.49%,5.17%,8.29%,21.29%
2022 to 2023,Quarter 4: January to March,Tyres,6.23%,12.42%,4.83%,60.06%,1.66%,3.28%
2022 to 2023,Quarter 4: January to March,Visibility,4.99%,8.63%,0.01%,0.13%,4.98%,10.26%
2022 to 2023,Quarter 4: January to March,Overall Initial Failure Rate,28.39%,,7.83%,,20.56%,
2022 to 2023,Quarter 4: January to March,Average defects per Initial Test Failure,,0.02,,0.39,,0.02
2022 to 2023,Quarter 3: October to December,"Body, chassis, structure",3.67%,6.58%,0.20%,1.96%,3.54%,7.45%
2022 to 2023,Quarter 3: October to December,Brakes,6.86%,15.94%,2.64%,28.54%,5.11%,13.57%
2022 to 2023,Quarter 3: October to December,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022 to 2023,Quarter 3: October to December,Identification of the vehicle,0.39%,0.69%,,,0.39%,0.81%
2022 to 2023,Quarter 3: October to December,"Lamps, reflectors and electrical equipment",11.93%,26.12%,0.16%,1.41%,11.84%,30.78%
2022 to 2023,Quarter 3: October to December,Motorcycle brakes,0.00%,0.00%,,,0.00%,0.00%
2022 to 2023,Quarter 3: October to December,Motorcycle lamps and reflectors,0.00%,0.00%,,,0.00%,0.00%
2022 to 2023,Quarter 3: October to December,Motorcycle tyres,0.00%,0.00%,0.00%,0.00%,,
2022 to 2023,Quarter 3: October to December,"Noise, emissions and leaks",3.25%,5.69%,0.04%,0.36%,3.23%,6.70%
2022 to 2023,Quarter 3: October to December,Road Wheels,0.36%,0.68%,0.07%,0.71%,0.29%,0.67%
2022 to 2023,Quarter 3: October to December,Seat belt installation check,0.01%,0.01%,,,0.01%,0.01%
2022 to 2023,Quarter 3: October to December,Seat belts and supplementary restraint systems,1.12%,1.81%,0.03%,0.33%,1.09%,2.09%
2022 to 2023,Quarter 3: October to December,Speedometer and speed limiter,0.01%,0.01%,,,0.01%,0.01%
2022 to 2023,Quarter 3: October to December,Steering,1.89%,3.14%,0.10%,0.97%,1.81%,3.55%
2022 to 2023,Quarter 3: October to December,Suspension,9.02%,19.16%,0.52%,5.43%,8.71%,21.74%
2022 to 2023,Quarter 3: October to December,Tyres,6.35%,12.26%,4.92%,60.18%,1.69%,3.23%
2022 to 2023,Quarter 3: October to December,Visibility,4.73%,7.91%,0.01%,0.12%,4.72%,9.38%
2022 to 2023,Quarter 3: October to December,Overall Initial Failure Rate,29.17%,,7.98%,,21.19%,
2022 to 2023,Quarter 3: October to December,Average defects per Initial Test Failure,,2.46,,0.39,,2.07
2022 to 2023,Quarter 2: July to September,"Body, chassis, structure",3.37%,6.43%,0.18%,1.97%,3.24%,7.26%
2022 to 2023,Quarter 2: July to September,Brakes,6.40%,15.86%,2.45%,28.65%,4.77%,13.47%
2022 to 2023,Quarter 2: July to September,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022 to 2023,Quarter 2: July to September,Identification of the vehicle,0.34%,0.66%,,,0.34%,0.78%
2022 to 2023,Quarter 2: July to September,"Lamps, reflectors and electrical equipment",11.05%,25.75%,0.16%,1.56%,10.96%,30.27%
