doc_name,thread_name,engine_group,dominant_topic,mileage_mentioned,mileage_confidence,gamma_vector
doc_00046,1.4TSI rolantide sarsinti,1.4_TSI,18,80000,medium,"[0.000137, 0.002281, 0.001645, 0.001790, 0.000118, 0.000775, 0.000567, 0.000350, 0.000249, 0.003578, 0.002256, 0.000708, 0.000959, 0.000175, 0.005684, 0.023157, 0.001293, 0.952428, 0.000884, 0.000965]"
doc_00047,1.4Tsi Dsg Retarder Sesi,1.4_TSI,17,NA,none,"[0.000274, 0.001648, 0.000539, 0.000958, 0.000536, 0.000337, 0.000599, 0.000690, 0.000176, 0.002647, 0.002612, 0.000269, 0.000210, 0.000155, 0.001588, 0.005556, 0.970356, 0.010234, 0.000399, 0.000215]"
doc_00048,1.6 Dizel sesli mi calisiyor,1.6_TDI,19,NA,none,"[0.000105, 0.000137, 0.000630, 0.000189, 0.000035, 0.000175, 0.000046, 0.000198, 0.000181, 0.000413, 0.000367, 0.000235, 0.000070, 0.000068, 0.000407, 0.000110, 0.000060, 0.000347, 0.995732, 0.000493]"
doc_00049,1.6 TDI  Sari Yay Isareti Arizasi Hk.,1.6_TDI,6,NA,none,"[0.000727, 0.000500, 0.003427, 0.000718, 0.063754, 0.915684, 0.000320, 0.001502, 0.000672, 0.000880, 0.001717, 0.001641, 0.000184, 0.000849, 0.001125, 0.001157, 0.000492, 0.000933, 0.001375, 0.002343]"
doc_00050,"1.6 TDI CLH Baski, Volan Marka Onerisi",1.6_TDI,9,NA,none,"[0.000161, 0.000465, 0.002855, 0.000558, 0.000305, 0.000759, 0.000370, 0.000560, 0.976734, 0.001272, 0.001395, 0.000878, 0.000157, 0.000295, 0.002414, 0.001823, 0.000460, 0.005180, 0.001737, 0.001620]"
doc_00051,1.6 TDI Enjektor uzerinde mazot birikmesi,1.6_TDI,12,NA,none,"[0.000226, 0.000451, 0.001845, 0.000571, 0.000332, 0.000796, 0.000271, 0.000900, 0.000492, 0.001286, 0.001787, 0.981995, 0.000252, 0.000437, 0.001391, 0.001550, 0.000366, 0.001989, 0.001516, 0.001548]"
doc_00052,"1.6 TDI Manuel Calismama, gec calisma ve beyaz duman",1.6_TDI,14,1600,high,"[0.000045, 0.000061, 0.000612, 0.000061, 0.000104, 0.000131, 0.000044, 0.000118, 0.000075, 0.000210, 0.000473, 0.000188, 0.000042, 0.996828, 0.000232, 0.000242, 0.000022, 0.000161, 0.000168, 0.000184]"
doc_00053,1.6 TDI Ses Sorunu,1.6_TDI,3,160000,high,"[0.003382, 0.002574, 0.920566, 0.001075, 0.006593, 0.001798, 0.003741, 0.002782, 0.026084, 0.002791, 0.005315, 0.001144, 0.000505, 0.002668, 0.003073, 0.002655, 0.002277, 0.005945, 0.004175, 0.000857]"
doc_00054,1.6 TDI bakim sonrasi asiri yuksek yakit sorunu,1.6_TDI,10,109500,high,"[0.000153, 0.000208, 0.001017, 0.000382, 0.000130, 0.000418, 0.000341, 0.000724, 0.000350, 0.989226, 0.000271, 0.000807, 0.000120, 0.000246, 0.001311, 0.000888, 0.000439, 0.001148, 0.000938, 0.000883]"
doc_00055,1.6 TDI manuel yarim debriyajda gelen inilti sesi,1.6_TDI,15,NA,none,"[0.001151, 0.001123, 0.007495, 0.001241, 0.000364, 0.002691, 0.000883, 0.002048, 0.002739, 0.004423, 0.002100, 0.003370, 0.001219, 0.000957, 0.770141, 0.002360, 0.002096, 0.183793, 0.004605, 0.005201]"
doc_00056,1.6 TDI motordan duman atma,1.6_TDI,20,1000,high,"[0.000180, 0.000125, 0.001175, 0.000170, 0.000123, 0.000491, 0.000128, 0.000206, 0.000319, 0.000379, 0.001568, 0.000418, 0.000122, 0.000120, 0.001414, 0.000300, 0.000150, 0.000377, 0.000610, 0.991626]"
doc_00057,1.6 Tdi Clh Rejenerasyon Sirasinda Koku,1.6_TDI,8,NA,none,"[0.000261, 0.000320, 0.001085, 0.000375, 0.000329, 0.000395, 0.000182, 0.990616, 0.000166, 0.000563, 0.000869, 0.000524, 0.000163, 0.000144, 0.000528, 0.001339, 0.000384, 0.000624, 0.000684, 0.000447]"
doc_00058,1.6 Tdi DSG Hic bir sekilde patinaj'a dusmeme sorunu :),1.6_TDI,5,NA,none,"[0.002754, 0.001174, 0.061059, 0.001626, 0.673169, 0.002834, 0.003648, 0.009980, 0.004303, 0.005773, 0.003845, 0.004268, 0.000617, 0.004209, 0.001243, 0.210258, 0.002950, 0.004038, 0.001662, 0.000591]"
doc_00059,1.6 Tdi-Dsg-Sehir Ici Yakit tuketimi,1.6_TDI,10,1500,high,"[0.000144, 0.000104, 0.000552, 0.000271, 0.000175, 0.000201, 0.000288, 0.000466, 0.000307, 0.994122, 0.000205, 0.000370, 0.000054, 0.000286, 0.000473, 0.000457, 0.000300, 0.000513, 0.000569, 0.000141]"
doc_00060,1.6 dizel gec calisma,1.6_TDI,11,100000,high,"[0.000387, 0.000090, 0.002073, 0.000566, 0.000239, 0.000744, 0.000421, 0.000877, 0.000496, 0.000249, 0.985562, 0.001053, 0.000193, 0.000698, 0.000402, 0.000992, 0.000562, 0.001065, 0.001516, 0.001814]"
doc_00061,1.6 tdi 105 hp sabahlari ilk mars gec alma,1.6_TDI,11,NA,none,"[0.001075, 0.000232, 0.011748, 0.001332, 0.001159, 0.001222, 0.001215, 0.002491, 0.001478, 0.000691, 0.962019, 0.001999, 0.000328, 0.002251, 0.000584, 0.002500, 0.001236, 0.002241, 0.003123, 0.001076]"
doc_00062,1.6 tdi dsg,1.6_TDI,3,NA,none,"[0.000739, 0.000832, 0.975631, 0.000625, 0.001406, 0.000684, 0.000665, 0.001785, 0.001343, 0.001167, 0.002499, 0.000616, 0.000257, 0.001166, 0.001097, 0.002866, 0.000596, 0.002966, 0.002446, 0.000614]"
