doc_name,thread_name,thread_url,dominant_topic,topic_gamma,engine_group,mileage_miles,mileage_confidence,technical_bucket,chronic_score,n_messages,gamma_vector
doc_01878,Nearly one year old and first service today,https://www.golfgtiforum.co.uk/index.php?topic=270049.0,7,0.20449387483412726,unknown,8800.0,high,high,1,10,"[0.010564881237812934, 0.005641766032845017, 0.010470450924866287, 0.00639699205765142, 0.010148748155235691, 0.016503518561767787, 0.20449387483412726, 0.008633624562751994, 0.00814977759510885, 0.006571171568760521, 0.007944593465713851, 0.009648837056857542, 0.005687706551340839, 0.010534896880474183, 0.011936921569489141, 0.008331072169768108, 0.009875817981565695, 0.008711612146620137, 0.011256620212743708, 0.006780907672934635, 0.0076120637914555605, 0.006990171952881602, 0.018358675350029233, 0.009272740281627553, 0.010816906698998752]"
doc_01879,DNS Nav Pro - Crashed?,https://www.golfgtiforum.co.uk/index.php?topic=270117.0,2,1.0,unknown,,none,high,3,6,"[2.0520783842966285e-308, 1.0, 1.7428130930196865e-308, 2.779150195752823e-308, 2.3414541655921314e-308, 1.912686187142118e-308, 1.6117496077804896e-308, 1.868329815415488e-308, 1.5504135487843727e-308, 1.300807074779314e-308, 1.861478598571507e-308, 2.240714532805414e-308, 1.153916883262097e-308, 3.3421784879946527e-308, 1.9120801222622264e-308, 1.749731162104149e-308, 1.8987485063565924e-308, 3.6470659551336645e-308, 2.875468857216778e-308, 1.2998824284493416e-308, 1.436976037817398e-308, 1.3395619483158727e-308, 2.003289467161971e-308, 3.0487455367218997e-308, 2.8775776310122765e-308]"
doc_01880,Reflex Silver GTD,https://www.golfgtiforum.co.uk/index.php?topic=270173.0,16,0.5490561564423746,unknown,,none,low,0,2,"[0.048946985494916086, 0.007632576304351986, 0.01767709718192122, 0.009325829053250474, 0.012318821944565603, 0.011164069691447743, 0.011086566208430997, 0.01482082694247381, 0.010265518991204266, 0.0183299370823124, 0.013543406104216506, 0.024710060593801764, 0.012492270767660794, 0.012296272897599566, 0.030902635294644844, 0.5490561564423746, 0.012869217028877025, 0.01041975183434877, 0.010815475268894223, 0.010418321392294953, 0.020223342307995995, 0.016466662440067583, 0.022508166494234573, 0.009512905560911951, 0.016113204316802632]"
doc_01881,Golf R400,https://www.golfgtiforum.co.uk/index.php?topic=270081.0,1,0.4058871514566841,MK7,35000.0,high,medium,0,6,"[0.4058871514566841, 0.01563719782868984, 0.057500102951015174, 0.014690752689960512, 0.038556205373070786, 0.017295256788523145, 0.01833052380761981, 0.035342475875173585, 0.014309296756319723, 0.01741251448636459, 0.03009930205461385, 0.025851500852003502, 0.014089275687921878, 0.020006236651568622, 0.02444470956304731, 0.03468637587086927, 0.05116394112631382, 0.019111295283817782, 0.020477628037087824, 0.01331531299684503, 0.018020415634217215, 0.019294600781306202, 0.03360107990438437, 0.01865165756664945, 0.022225189975932678]"
doc_01882,VW Racing cup Donington Pictures,https://www.golfgtiforum.co.uk/index.php?topic=270150.0,15,0.2625218544445295,unknown,,none,low,0,1,"[0.03432494886571024, 0.013059800595999016, 0.023452034164629494, 0.017056386318968764, 0.01946406907292198, 0.027245007601712615, 0.02470746120892536, 0.02235793714578648, 0.016964956617554008, 0.02079823220793585, 0.017983211142649114, 0.05970143259426228, 0.01598578350720747, 0.03324765953737712, 0.2625218544445295, 0.036545640717835594, 0.018229810331488443, 0.020878543548579986, 0.022020943171516063, 0.015490168783870417, 0.028002309048270356, 0.018476553918341406, 0.06995773372670247, 0.01942455803044847, 0.03730345079913283]"
doc_01883,Bleeping from engine bay when switched off,https://www.golfgtiforum.co.uk/index.php?topic=270122.0,9,1.0,MK6,,none,high,1,8,"[2.3842352487692125e-308, 1.596438052489061e-308, 1.7822176644773163e-308, 2.587336296410289e-308, 3.126326889509971e-308, 4.850067015892401e-308, 2.349853311917094e-308, 1.547679280752491e-308, 1.0, 2.325270501619845e-308, 3.029649823175841e-308, 3.7584736662881887e-308, 2.013995585070025e-308, 2.819977130506828e-308, 3.2030101151011406e-308, 2.3676749315376625e-308, 2.134677463336641e-308, 3.1471697154570316e-308, 3.633067233681602e-308, 5.318146189568381e-308, 2.7181933096883795e-308, 3.2594669717969053e-308, 2.4878845382768465e-308, 2.984432612736801e-308, 4.18465374744524e-308]"
doc_01884,VW Golf MK7 GTI - Akrapovič Evolution Exhaust System,https://www.golfgtiforum.co.uk/index.php?topic=270178.0,11,1.0,MK7,,none,low,0,4,"[5.156145524735273e-308, 1.7831570299015135e-308, 2.5405129190434e-308, 2.1286891601065114e-308, 6.995995418019573e-308, 2.6688665799080594e-308, 2.156027365642368e-308, 1.92901639318509e-308, 2.9913041566307084e-308, 2.083620352189603e-308, 1.0, 3.679696038658786e-308, 1.722057228578942e-308, 2.3942844129501087e-308, 2.7294673981372465e-308, 3.002858641005172e-308, 4.2780980898280333e-308, 2.8840932246984505e-308, 3.410730446218019e-308, 2.3139050759708614e-308, 2.202050355151881e-308, 3.0067641528224226e-308, 2.597509676605301e-308, 2.8449066338485525e-308, 3.170722720189831e-308]"
doc_01885,Dissed by a mob of 8 year olds,https://www.golfgtiforum.co.uk/index.php?topic=270201.0,4,0.013567218870083556,MK7,,none,low,0,3,"[0.14845753419291804, 0.013430546228755464, 0.044399670034192776, 0.013567218870083556, 0.05252005318701255, 0.01842278368700013, 0.01867176204171959, 0.025932465899238612, 0.013661109688309756, 0.015134845834003997, 0.035457111244728674, 0.025626969142587257, 0.012253901501055441, 0.01960039408161132, 0.023227118876813974, 0.028564476995095886, 0.09069259627873459, 0.018934533637908837, 0.022427535777041537, 0.01182015320131565, 0.016112000022433987, 0.01754830229204864, 0.03274535268035456, 0.018974147313025495, 0.022182428299254577]"
doc_01886,Sat Nav and Traffic don't combine?!,https://www.golfgtiforum.co.uk/index.php?topic=270202.0,2,0.4930677073821593,unknown,,none,low,0,4,"[0.02150294374459236, 0.4930677073821593, 0.018344529731526584, 0.028529758054487073, 0.023735887958490874, 0.019329463808895553, 0.016537328691623727, 0.01980457367521484, 0.01581116732848529, 0.013568454914711009, 0.019282308204017107, 0.023109931653226792, 0.012030536849134512, 0.03233456087533411, 0.019774937781824816, 0.018391716221082825, 0.019631055147236086, 0.03551167318576066, 0.028373563820496207, 0.013340652753359238, 0.014944614625895473, 0.013901713880652623, 0.02080087414673883, 0.02968049963030412, 0.02865954593474998]"
doc_01887,Gti went into safe mode,https://www.golfgtiforum.co.uk/index.php?topic=270245.0,19,1.0,MK7.5,,none,high,1,7,"[3.4368575041021035e-308, 2.6418116389530186e-308, 2.442577436394817e-308, 3.5017419689146183e-308, 7.950516079008657e-308, 6.410816997558905e-308, 3.188068329576278e-308, 2.128586231584054e-308, 3.5996053685548483e-308, 1.929440058287429e-308, 3.732465434000111e-308, 4.553627249502457e-308, 1.6503098648988233e-308, 5.786716830884449e-308, 3.443104801474778e-308, 2.5880845081992267e-308, 3.399590521534582e-308, 1.186417392367313e-307, 1.0, 2.327414728089782e-308, 2.249606084123114e-308, 2.2195062088534784e-308, 3.5031134764172464e-308, 1.0623382910507946e-307, 7.311896937178818e-308]"
