T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,doc_name
0.42161494,0.037748143,0.06527342,0.05205662,0.02585059,0.022759369,0.023343764,0.035562072,0.025964502,0.07382077,0.029028999,0.026458517,0.03945271,0.07768546,0.043380115,doc_00112
0.26732165,0.04209249,0.05499538,0.10427145,0.04945573,0.037607297,0.03638861,0.099266894,0.038405944,0.04750824,0.042344373,0.040369697,0.04189799,0.043810528,0.054263823,doc_00113
0.4472597,0.019683331,0.047130127,0.05405475,0.02447364,0.022552622,0.022861127,0.03806612,0.026436005,0.11033575,0.053774454,0.023053655,0.043691143,0.030112091,0.036515493,doc_00114
0.1519585,0.031103337,0.036166538,0.16906387,0.03257722,0.038988266,0.03874353,0.13349885,0.04031938,0.1426041,0.040795665,0.032118585,0.028902167,0.032527678,0.050632305,doc_00115
0.5528495,0.021145497,0.030019645,0.051960353,0.021234287,0.020661356,0.020878835,0.033437885,0.028296866,0.056084428,0.05277057,0.025311472,0.026937872,0.024758505,0.033652943,doc_00116
0.50097895,0.030629084,0.06807525,0.05328876,0.05769579,0.03144093,0.028368486,0.034107883,0.03344829,0.03331108,0.031178288,0.019415608,0.023156317,0.020163994,0.03474116,doc_00117
0.45330375,0.021321736,0.02190753,0.29952827,0.015323095,0.015323066,0.0154002495,0.022194806,0.020367732,0.023515917,0.02290816,0.013801666,0.014401652,0.014938432,0.025763934,doc_00118
0.45547366,0.030725045,0.034573704,0.043614417,0.02785196,0.025439568,0.026120039,0.0348113,0.050832756,0.09156448,0.057290897,0.024303652,0.037159946,0.024260065,0.035978448,doc_00119
0.60437465,0.027944574,0.054587044,0.08024673,0.024543226,0.016180886,0.015690068,0.021924427,0.022433298,0.021755164,0.03228935,0.01339806,0.014913742,0.017064383,0.03265439,doc_00120
0.06736679,0.04685583,0.040327236,0.046578847,0.06195734,0.08009623,0.06760535,0.14128652,0.08536461,0.060358316,0.052942883,0.08863629,0.058012314,0.042290032,0.060321383,doc_00121
0.12661129,0.04353209,0.054967575,0.13013983,0.050971758,0.06669514,0.062414486,0.10286322,0.057411,0.069086,0.052319724,0.038740285,0.042118058,0.043220267,0.058909316,doc_00122
0.15787399,0.024128564,0.028661668,0.030503081,0.03230643,0.111760736,0.02811873,0.025847811,0.02534799,0.024840808,0.13533705,0.2798673,0.031982996,0.021655668,0.04176714,doc_00123
0.06958709,0.065007456,0.047487628,0.037151486,0.10505449,0.072945885,0.06326884,0.065892726,0.050050247,0.045557763,0.1041714,0.0683715,0.07294552,0.07124895,0.0612591,doc_00124
0.35519922,0.03705476,0.037701473,0.14487709,0.035712704,0.028774692,0.028979998,0.03688554,0.045297228,0.034351435,0.044061482,0.037665263,0.04282936,0.043178566,0.047431193,doc_00125
0.09851164,0.04659529,0.06875951,0.21383852,0.05590639,0.040521387,0.040280826,0.04790903,0.09168068,0.04629976,0.06797075,0.047363773,0.038377643,0.0394981,0.056486618,doc_00126
0.1169642,0.07782196,0.056270953,0.08704721,0.15309694,0.0504637,0.06075361,0.056466132,0.06803698,0.04548219,0.04666113,0.04303121,0.038881686,0.03970099,0.05932106,doc_00127
0.22368239,0.018571576,0.019298611,0.4717288,0.021836298,0.015944596,0.016311523,0.040670443,0.021764146,0.02154414,0.023770286,0.022704896,0.019381963,0.023921972,0.03886837,doc_00128
0.3066178,0.031816088,0.03286752,0.03788898,0.028781522,0.027802676,0.02794192,0.03227677,0.21203999,0.04194683,0.038160454,0.0707714,0.039160646,0.028228752,0.043698624,doc_00129
0.13615882,0.20215617,0.11886171,0.04148725,0.17020436,0.030482437,0.029505411,0.033456523,0.0319223,0.031371005,0.03577088,0.030329306,0.028710479,0.031478908,0.048104398,doc_00130
0.3834059,0.034622937,0.05708717,0.042656593,0.09632066,0.042060796,0.036456037,0.052695677,0.03643411,0.037531186,0.039018948,0.03796464,0.026099665,0.032306585,0.045339055,doc_00131
0.055821612,0.052131783,0.24417746,0.062396478,0.051466648,0.053513613,0.05146468,0.061107114,0.0509504,0.051620826,0.051671382,0.057792183,0.04723077,0.049878377,0.058776725,doc_00132
0.089008376,0.03716932,0.35401818,0.07385409,0.044356264,0.036844157,0.03558022,0.039004453,0.038485687,0.042702917,0.037865777,0.04966184,0.033997063,0.03802116,0.049430512,doc_00133
0.17086256,0.036426745,0.035256147,0.1624405,0.036771756,0.037348244,0.036495678,0.036989804,0.104793735,0.03885973,0.07641716,0.09964733,0.03934084,0.03611215,0.052237645,doc_00134
0.45732749,0.021517042,0.025308317,0.07004152,0.034251533,0.025433335,0.028719759,0.03528335,0.0652363,0.055501178,0.052813556,0.029611072,0.02627581,0.032808233,0.039871506,doc_00135
0.52343667,0.035980575,0.025609596,0.049404565,0.032808222,0.02289386,0.024069948,0.02822487,0.050205685,0.050173037,0.044727657,0.026468275,0.028571898,0.023740131,0.03368511,doc_00136
0.031309284,0.025290105,0.01987502,0.027169285,0.019461738,0.02080247,0.020225197,0.017226608,0.6363015,0.024573022,0.029209437,0.038766846,0.03886059,0.02141695,0.02951195,doc_00137
